time,fsr1,fsr2,fsr3,fsr4,label
0.001,3581,0,0,3838,grass_19
0.002,3581,0,0,3835,grass_19
0.002,3591,0,0,3846,grass_19
0.002,3587,0,0,3836,grass_19
0.002,3588,0,0,3838,grass_19
0.002,3591,0,0,3838,grass_19
0.002,3589,0,0,3840,grass_19
0.002,3594,0,0,3841,grass_19
0.002,3591,0,0,3840,grass_19
0.002,3589,0,0,3839,grass_19
0.002,3592,0,0,3840,grass_19
0.004,3590,0,0,3840,grass_19
0.004,3584,0,0,3843,grass_19
0.004,3582,0,0,3840,grass_19
0.004,3586,0,0,3841,grass_19
0.009,3586,0,0,3842,grass_19
0.009,3589,0,0,3839,grass_19
0.009,3589,0,0,3843,grass_19
0.009,3588,0,0,3835,grass_19
0.009,3591,0,0,3841,grass_19
0.009,3592,0,0,3837,grass_19
0.009,3588,0,0,3840,grass_19
0.009,3589,0,0,3842,grass_19
0.009,3591,0,0,3843,grass_19
0.009,3591,0,0,3841,grass_19
0.009,3592,0,0,3840,grass_19
0.009,3584,0,0,3840,grass_19
0.009,3593,0,0,3844,grass_19
0.012,3589,0,0,3840,grass_19
0.012,3592,0,0,3842,grass_19
0.012,3589,0,0,3851,grass_19
0.012,3591,0,0,3837,grass_19
0.012,3589,0,0,3843,grass_19
0.012,3587,0,0,3840,grass_19
0.012,3590,0,0,3842,grass_19
0.012,3590,0,0,3840,grass_19
0.012,3586,0,0,3839,grass_19
0.012,3589,0,0,3845,grass_19
0.012,3589,0,0,3844,grass_19
0.012,3591,0,0,3841,grass_19
0.014,3591,0,0,3841,grass_19
0.014,3590,0,0,3840,grass_19
0.014,3589,0,0,3847,grass_19
0.014,3591,0,0,3842,grass_19
0.015,3595,0,0,3839,grass_19
0.015,3590,0,0,3841,grass_19
0.015,3593,0,0,3841,grass_19
0.015,3593,0,0,3843,grass_19
0.015,3593,0,0,3841,grass_19
0.015,3596,0,0,3839,grass_19
0.015,3601,0,0,3842,grass_19
0.015,3593,0,0,3846,grass_19
0.017,3595,0,0,3843,grass_19
0.017,3593,0,0,3840,grass_19
0.017,3587,0,0,3843,grass_19
