time,fsr1,fsr2,fsr3,fsr4,label
0.0,3558,0,0,3956,hard
0.0,3555,0,0,3956,hard
0.0,3554,0,0,3954,hard
0.0,3556,0,0,3957,hard
0.0,3556,0,0,3951,hard
0.0,3552,0,0,3955,hard
0.0,3554,0,0,3958,hard
0.0,3551,0,0,3959,hard
0.0,3554,0,0,3955,hard
0.0,3553,0,0,3959,hard
0.0,3550,0,0,3956,hard
0.0,3555,0,0,3954,hard
0.0,3554,0,0,3956,hard
0.0,3556,0,0,3953,hard
0.0,3557,0,0,3957,hard
0.0,3556,0,0,3956,hard
0.0,3551,0,0,3956,hard
0.0,3554,0,0,3958,hard
0.0,3552,0,0,3957,hard
0.0,3556,0,0,3954,hard
0.0,3558,0,0,3960,hard
0.0,3558,0,0,3955,hard
0.0,3550,0,0,3956,hard
0.0,3555,0,0,3959,hard
0.0,3549,0,0,3955,hard
0.0,3559,0,0,3956,hard
0.0,3558,0,0,3953,hard
0.0,3558,0,0,3953,hard
0.0,3552,0,0,3956,hard
0.0,3557,0,0,3956,hard
0.0,3556,0,0,3961,hard
0.006,3555,0,0,3956,hard
0.006,3556,0,0,3955,hard
0.006,3556,0,0,3955,hard
0.006,3547,0,0,3961,hard
0.006,3556,0,0,3958,hard
0.006,3552,0,0,3958,hard
0.006,3553,0,0,3953,hard
0.008,3551,0,0,3964,hard
0.008,3555,0,0,3953,hard
0.008,3554,0,0,3952,hard
0.008,3553,0,0,3961,hard
0.008,3557,0,0,3958,hard
0.008,3556,0,0,3954,hard
0.008,3554,0,0,3957,hard
0.008,3557,0,0,3958,hard
0.008,3552,0,0,3958,hard
0.008,3557,0,0,3953,hard
0.008,3554,0,0,3957,hard
0.008,3551,0,0,3955,hard
0.008,3557,0,0,3963,hard
0.008,3557,0,0,3959,hard
0.008,3554,0,0,3958,hard
0.01,3557,0,0,3958,hard
0.01,3556,0,0,3955,hard
0.01,3555,0,0,3953,hard
0.01,3557,0,0,3956,hard
0.01,3559,0,0,3956,hard
0.01,3553,0,0,3955,hard
0.01,3558,0,0,3957,hard
0.01,3556,0,0,3957,hard
0.01,3553,0,0,3960,hard
0.01,3556,0,0,3960,hard
0.01,3555,0,0,3954,hard
0.01,3556,0,0,3958,hard
0.01,3556,0,0,3959,hard
0.01,3555,0,0,3959,hard
0.01,3552,0,0,3955,hard
0.01,3556,0,0,3956,hard
0.01,3552,0,0,3952,hard
0.01,3558,0,0,3950,hard
0.01,3560,0,0,3957,hard
0.01,3555,0,0,3958,hard
0.01,3553,0,0,3957,hard
0.01,3554,0,0,3958,hard
0.01,3553,0,0,3958,hard
0.01,3555,0,0,3957,hard
0.01,3547,0,0,3957,hard
0.01,3552,0,0,3958,hard
0.01,3549,0,0,3955,hard
0.01,3552,0,0,3956,hard
0.01,3557,0,0,3957,hard
0.01,3554,0,0,3958,hard
0.01,3558,0,0,3956,hard
0.01,3555,0,0,3960,hard
0.01,3553,0,0,3955,hard
0.01,3559,0,0,3957,hard
0.015,3557,0,0,3960,hard
0.015,3549,0,0,3958,hard
0.015,3558,0,0,3956,hard
0.015,3548,0,0,3958,hard
0.015,3556,0,0,3956,hard
0.015,3554,0,0,3957,hard
0.015,3560,0,0,3957,hard
0.015,3555,0,0,3957,hard
0.015,3557,0,0,3960,hard
0.015,3556,0,0,3955,hard
0.015,3554,0,0,3955,hard
0.015,3553,0,0,3957,hard
0.015,3556,0,0,3954,hard
0.015,3554,0,0,3957,hard
0.015,3552,0,0,3956,hard
0.015,3557,0,0,3959,hard
0.015,3556,0,0,3967,hard
0.015,3548,0,0,3957,hard
0.015,3554,0,0,3955,hard
0.015,3557,0,0,3956,hard
0.015,3556,0,0,3956,hard
0.015,3557,0,0,3961,hard
0.015,3554,0,0,3960,hard
0.015,3551,0,0,3957,hard
0.015,3553,0,0,3961,hard
0.015,3552,0,0,3961,hard
0.015,3556,0,0,3959,hard
0.015,3549,0,0,3957,hard
0.015,3552,0,0,3958,hard
0.015,3556,0,0,3958,hard
0.02,3556,0,0,3958,hard
0.02,3557,0,0,3959,hard
0.02,3556,0,0,3957,hard
0.02,3558,0,0,3952,hard
0.02,3556,0,0,3956,hard
0.021,3555,0,0,3958,hard
0.021,3552,0,0,3956,hard
0.021,3551,0,0,3959,hard
0.021,3555,0,0,3956,hard
0.021,3552,0,0,3957,hard
0.021,3557,0,0,3956,hard
0.021,3555,0,0,3958,hard
0.021,3555,0,0,3957,hard
0.021,3558,0,0,3957,hard
0.021,3554,0,0,3960,hard
0.021,3564,0,0,3958,hard
0.021,3555,0,0,3963,hard
0.021,3558,0,0,3960,hard
0.021,3555,0,0,3957,hard
0.021,3558,0,0,3959,hard
0.024,3553,0,0,3961,hard
0.024,3555,0,0,3960,hard
0.024,3559,0,0,3961,hard
0.024,3558,0,0,3958,hard
0.024,3556,0,0,3959,hard
0.024,3559,0,0,3959,hard
0.024,3556,0,0,3962,hard
0.024,3558,0,0,3957,hard
0.024,3559,0,0,3958,hard
0.024,3556,0,0,3961,hard
0.024,3551,0,0,3959,hard
0.024,3560,0,0,3956,hard
0.025,3555,0,0,3958,hard
0.025,3558,0,0,3959,hard
0.025,3552,0,0,3961,hard
0.025,3557,0,0,3959,hard
0.025,3559,0,0,3961,hard
0.025,3556,0,0,3960,hard
0.025,3558,0,0,3960,hard
0.025,3554,0,0,3958,hard
0.027,3559,0,0,3962,hard
0.027,3556,0,0,3960,hard
0.027,3560,0,0,3956,hard
0.027,3567,0,0,3955,hard
0.027,3558,0,0,3958,hard
0.027,3555,0,0,3958,hard
0.027,3557,0,0,3956,hard
0.027,3556,0,0,3957,hard
0.027,3555,0,0,3957,hard
0.027,3554,0,0,3959,hard
0.027,3559,0,0,3958,hard
0.027,3559,0,0,3956,hard
0.027,3556,0,0,3959,hard
0.027,3558,0,0,3958,hard
0.027,3557,0,0,3958,hard
0.027,3560,0,0,3958,hard
0.027,3554,0,0,3962,hard
0.027,3561,0,0,3961,hard
0.027,3553,0,0,3964,hard
0.027,3557,0,0,3961,hard
0.027,3564,0,0,3955,hard
0.027,3557,0,0,3956,hard
0.027,3561,0,0,3959,hard
0.027,3561,0,0,3958,hard
0.031,3560,0,0,3959,hard
0.031,3558,0,0,3960,hard
0.031,3557,0,0,3958,hard
0.031,3560,0,0,3958,hard
0.031,3556,0,0,3958,hard
0.031,3561,0,0,3957,hard
0.031,3558,0,0,3961,hard
0.032,3564,0,0,3955,hard
0.032,3553,0,0,3957,hard
0.032,3557,0,0,3961,hard
0.032,3550,0,0,3961,hard
0.032,3560,0,0,3958,hard
0.032,3556,0,0,3960,hard
0.032,3561,0,0,3959,hard
0.032,3562,0,0,3956,hard
0.032,3557,0,0,3955,hard
0.032,3553,0,0,3962,hard
0.032,3562,0,0,3957,hard
0.032,3557,0,0,3960,hard
0.032,3558,0,0,3961,hard
0.034,3559,0,0,3960,hard
0.034,3559,0,0,3961,hard
0.034,3556,0,0,3958,hard
0.034,3553,0,0,3962,hard
0.034,3553,0,0,3957,hard
0.034,3560,0,0,3957,hard
0.034,3557,0,0,3957,hard
0.034,3555,0,0,3960,hard
0.034,3556,0,0,3960,hard
0.034,3557,0,0,3955,hard
0.034,3557,0,0,3959,hard
0.035,3552,0,0,3956,hard
0.035,3553,0,0,3958,hard
0.035,3554,0,0,3960,hard
0.035,3557,0,0,3958,hard
0.035,3559,0,0,3958,hard
0.035,3555,0,0,3961,hard
0.035,3554,0,0,3957,hard
0.035,3565,0,0,3960,hard
0.035,3554,0,0,3959,hard
0.035,3554,0,0,3959,hard
0.035,3551,0,0,3958,hard
0.035,3552,0,0,3957,hard
0.035,3554,0,0,3958,hard
0.035,3556,0,0,3958,hard
0.035,3558,0,0,3963,hard
0.035,3555,0,0,3959,hard
0.035,3550,0,0,3960,hard
0.035,3553,0,0,3958,hard
0.035,3552,0,0,3959,hard
0.035,3549,0,0,3952,hard
0.035,3550,0,0,3956,hard
0.035,3552,0,0,3962,hard
0.035,3552,0,0,3956,hard
0.035,3553,0,0,3960,hard
0.035,3561,0,0,3965,hard
0.035,3550,0,0,3960,hard
0.035,3555,0,0,3955,hard
0.035,3552,0,0,3958,hard
0.035,3550,0,0,3959,hard
0.04,3552,0,0,3959,hard
