time,fsr1,fsr2,fsr3,fsr4,label
0.0,3536,0,0,3698,hard_ground_6
0.0,3532,0,0,3701,hard_ground_6
0.0,3522,0,0,3693,hard_ground_6
0.0,3526,0,0,3677,hard_ground_6
0.0,3522,0,0,3667,hard_ground_6
0.0,3529,0,0,3667,hard_ground_6
0.0,3509,0,0,3665,hard_ground_6
0.0,3505,0,0,3661,hard_ground_6
0.0,3499,0,0,3657,hard_ground_6
0.0,3493,0,0,3610,hard_ground_6
0.0,3482,0,0,3613,hard_ground_6
0.0,3490,0,0,3610,hard_ground_6
0.0,3487,0,0,3620,hard_ground_6
0.0,3489,0,0,3634,hard_ground_6
0.0,3496,0,0,3654,hard_ground_6
0.0,3499,0,0,3656,hard_ground_6
0.0,3499,0,0,3660,hard_ground_6
0.0,3501,0,0,3667,hard_ground_6
0.0,3517,0,0,3667,hard_ground_6
0.0,3533,0,0,3677,hard_ground_6
0.0,3564,0,0,3699,hard_ground_6
0.0,3569,0,0,3704,hard_ground_6
0.0,3575,0,0,3708,hard_ground_6
0.0,3582,0,0,3709,hard_ground_6
0.0,3579,0,0,3708,hard_ground_6
0.0,3578,0,0,3718,hard_ground_6
0.0,3579,0,0,3719,hard_ground_6
0.0,3584,0,0,3722,hard_ground_6
0.0,3584,0,0,3722,hard_ground_6
0.0,3585,0,0,3714,hard_ground_6
0.006,3585,0,0,3708,hard_ground_6
0.006,3582,0,0,3718,hard_ground_6
0.006,3581,0,0,3711,hard_ground_6
0.006,3580,0,0,3709,hard_ground_6
0.007,3583,0,0,3712,hard_ground_6
0.007,3580,0,0,3710,hard_ground_6
0.007,3586,0,0,3720,hard_ground_6
0.007,3583,0,0,3715,hard_ground_6
0.007,3588,0,0,3708,hard_ground_6
0.007,3585,0,0,3718,hard_ground_6
0.007,3583,0,0,3724,hard_ground_6
0.007,3582,0,0,3713,hard_ground_6
0.008,3576,0,0,3702,hard_ground_6
0.008,3578,0,0,3717,hard_ground_6
0.008,3580,0,0,3711,hard_ground_6
0.008,3575,0,0,3708,hard_ground_6
0.009,3580,0,0,3710,hard_ground_6
0.009,3580,0,0,3713,hard_ground_6
0.009,3579,0,0,3712,hard_ground_6
0.009,3575,0,0,3707,hard_ground_6
0.009,3574,0,0,3705,hard_ground_6
0.009,3580,0,0,3710,hard_ground_6
0.009,3577,0,0,3711,hard_ground_6
0.01,3574,0,0,3709,hard_ground_6
0.01,3580,0,0,3710,hard_ground_6
0.01,3582,0,0,3707,hard_ground_6
0.01,3578,0,0,3713,hard_ground_6
0.01,3580,0,0,3712,hard_ground_6
0.01,3583,0,0,3716,hard_ground_6
0.01,3582,0,0,3713,hard_ground_6
0.01,3586,0,0,3717,hard_ground_6
0.01,3587,0,0,3714,hard_ground_6
0.01,3582,0,0,3714,hard_ground_6
0.01,3590,0,0,3721,hard_ground_6
0.01,3589,0,0,3724,hard_ground_6
0.01,3587,0,0,3716,hard_ground_6
0.01,3585,0,0,3710,hard_ground_6
0.01,3588,0,0,3722,hard_ground_6
0.01,3589,0,0,3726,hard_ground_6
0.01,3590,0,0,3723,hard_ground_6
0.01,3591,0,0,3730,hard_ground_6
0.01,3594,0,0,3728,hard_ground_6
0.01,3590,0,0,3730,hard_ground_6
0.01,3593,0,0,3727,hard_ground_6
0.01,3590,0,0,3714,hard_ground_6
0.01,3593,0,0,3712,hard_ground_6
0.01,3586,0,0,3713,hard_ground_6
0.01,3582,0,0,3714,hard_ground_6
0.01,3590,0,0,3712,hard_ground_6
0.01,3590,0,0,3717,hard_ground_6
0.01,3588,0,0,3715,hard_ground_6
0.01,3586,0,0,3727,hard_ground_6
0.01,3589,0,0,3721,hard_ground_6
0.01,3594,0,0,3728,hard_ground_6
0.01,3590,0,0,3731,hard_ground_6
0.01,3588,0,0,3728,hard_ground_6
0.015,3591,0,0,3728,hard_ground_6
0.015,3590,0,0,3730,hard_ground_6
0.015,3589,0,0,3733,hard_ground_6
0.015,3589,0,0,3727,hard_ground_6
0.015,3588,0,0,3728,hard_ground_6
0.015,3584,0,0,3730,hard_ground_6
0.015,3582,0,0,3726,hard_ground_6
0.015,3590,0,0,3733,hard_ground_6
0.015,3591,0,0,3728,hard_ground_6
0.015,3593,0,0,3722,hard_ground_6
0.015,3584,0,0,3722,hard_ground_6
0.015,3586,0,0,3727,hard_ground_6
0.015,3591,0,0,3714,hard_ground_6
0.015,3587,0,0,3715,hard_ground_6
0.015,3591,0,0,3715,hard_ground_6
0.015,3589,0,0,3714,hard_ground_6
0.015,3588,0,0,3712,hard_ground_6
0.015,3585,0,0,3716,hard_ground_6
0.015,3589,0,0,3719,hard_ground_6
0.015,3582,0,0,3728,hard_ground_6
0.015,3586,0,0,3727,hard_ground_6
0.015,3588,0,0,3728,hard_ground_6
0.015,3591,0,0,3733,hard_ground_6
0.015,3592,0,0,3727,hard_ground_6
0.015,3588,0,0,3731,hard_ground_6
0.015,3588,0,0,3728,hard_ground_6
0.015,3589,0,0,3724,hard_ground_6
0.015,3593,0,0,3727,hard_ground_6
0.015,3583,0,0,3728,hard_ground_6
0.015,3590,0,0,3732,hard_ground_6
0.015,3593,0,0,3730,hard_ground_6
0.02,3589,0,0,3731,hard_ground_6
0.02,3589,0,0,3729,hard_ground_6
0.02,3590,0,0,3723,hard_ground_6
0.02,3593,0,0,3727,hard_ground_6
0.02,3590,0,0,3727,hard_ground_6
0.02,3591,0,0,3733,hard_ground_6
0.021,3592,0,0,3729,hard_ground_6
0.021,3587,0,0,3731,hard_ground_6
0.021,3592,0,0,3731,hard_ground_6
0.021,3593,0,0,3733,hard_ground_6
0.021,3600,0,0,3741,hard_ground_6
0.021,3597,0,0,3745,hard_ground_6
0.021,3592,0,0,3748,hard_ground_6
0.021,3594,0,0,3752,hard_ground_6
0.021,3595,0,0,3748,hard_ground_6
0.021,3586,0,0,3748,hard_ground_6
0.021,3594,0,0,3747,hard_ground_6
0.023,3596,0,0,3745,hard_ground_6
0.023,3596,0,0,3750,hard_ground_6
0.023,3590,0,0,3746,hard_ground_6
0.023,3595,0,0,3751,hard_ground_6
0.023,3593,0,0,3747,hard_ground_6
0.023,3590,0,0,3735,hard_ground_6
0.023,3585,0,0,3735,hard_ground_6
0.023,3591,0,0,3739,hard_ground_6
0.023,3589,0,0,3737,hard_ground_6
0.025,3593,0,0,3734,hard_ground_6
0.025,3595,0,0,3739,hard_ground_6
0.025,3597,0,0,3740,hard_ground_6
0.025,3592,0,0,3737,hard_ground_6
0.025,3592,0,0,3746,hard_ground_6
0.025,3594,0,0,3751,hard_ground_6
0.025,3597,0,0,3738,hard_ground_6
0.027,3601,0,0,3738,hard_ground_6
0.027,3590,0,0,3739,hard_ground_6
0.027,3594,0,0,3736,hard_ground_6
0.027,3592,0,0,3740,hard_ground_6
0.027,3593,0,0,3744,hard_ground_6
0.027,3591,0,0,3741,hard_ground_6
0.027,3592,0,0,3734,hard_ground_6
0.027,3589,0,0,3744,hard_ground_6
0.027,3590,0,0,3735,hard_ground_6
0.027,3590,0,0,3744,hard_ground_6
0.027,3590,0,0,3738,hard_ground_6
0.027,3588,0,0,3730,hard_ground_6
0.027,3582,0,0,3726,hard_ground_6
0.027,3587,0,0,3730,hard_ground_6
0.027,3581,0,0,3721,hard_ground_6
0.027,3585,0,0,3723,hard_ground_6
0.027,3579,0,0,3736,hard_ground_6
0.027,3584,0,0,3725,hard_ground_6
0.027,3586,0,0,3720,hard_ground_6
0.03,3585,0,0,3727,hard_ground_6
0.03,3587,0,0,3722,hard_ground_6
0.03,3587,0,0,3727,hard_ground_6
0.03,3580,0,0,3731,hard_ground_6
0.03,3591,0,0,3720,hard_ground_6
0.03,3580,0,0,3727,hard_ground_6
0.03,3583,0,0,3725,hard_ground_6
0.03,3579,0,0,3721,hard_ground_6
0.03,3579,0,0,3718,hard_ground_6
0.03,3583,0,0,3720,hard_ground_6
0.03,3575,0,0,3720,hard_ground_6
0.03,3579,0,0,3726,hard_ground_6
0.032,3578,0,0,3719,hard_ground_6
0.032,3574,0,0,3723,hard_ground_6
0.032,3580,0,0,3713,hard_ground_6
0.032,3577,0,0,3716,hard_ground_6
0.032,3576,0,0,3716,hard_ground_6
0.032,3580,0,0,3720,hard_ground_6
0.032,3577,0,0,3722,hard_ground_6
0.033,3576,0,0,3719,hard_ground_6
0.033,3578,0,0,3724,hard_ground_6
0.033,3575,0,0,3712,hard_ground_6
0.033,3574,0,0,3720,hard_ground_6
0.033,3570,0,0,3712,hard_ground_6
0.033,3575,0,0,3717,hard_ground_6
