time,fsr1,fsr2,fsr3,fsr4,label
0.0,3868,0,0,0,grass
0.0,3863,0,0,0,grass
0.0,3865,0,0,0,grass
0.0,3868,0,0,0,grass
0.0,3864,0,0,0,grass
0.0,3864,0,0,0,grass
0.0,3862,0,0,0,grass
0.0,3869,0,0,0,grass
0.0,3866,0,0,0,grass
0.0,3861,0,0,0,grass
0.0,3867,0,0,0,grass
0.0,3865,0,0,0,grass
0.0,3869,0,0,0,grass
0.0,3870,0,0,0,grass
0.0,3867,0,0,0,grass
0.0,3866,0,0,0,grass
0.0,3865,0,0,0,grass
0.0,3866,0,0,0,grass
0.0,3867,0,0,0,grass
0.0,3864,0,0,0,grass
0.0,3867,0,0,0,grass
0.0,3863,0,0,0,grass
0.0,3862,0,0,0,grass
0.0,3867,0,0,0,grass
0.0,3868,0,0,0,grass
0.0,3866,0,0,0,grass
0.0,3865,0,0,0,grass
0.0,3869,0,0,0,grass
0.0,3869,0,0,0,grass
0.0,3866,0,0,0,grass
0.0,3868,0,0,0,grass
0.0,3868,0,0,0,grass
0.0,3871,0,0,0,grass
0.0,3867,0,0,0,grass
0.006,3869,0,0,0,grass
0.006,3872,0,0,0,grass
0.006,3876,0,0,0,grass
0.006,3872,0,0,0,grass
0.006,3869,0,0,0,grass
0.006,3869,0,0,0,grass
0.007,3873,0,0,0,grass
0.007,3870,0,0,0,grass
0.007,3872,0,0,0,grass
0.007,3872,0,0,0,grass
0.007,3871,0,0,0,grass
0.007,3871,0,0,0,grass
0.007,3870,0,0,0,grass
0.007,3872,0,0,0,grass
0.008,3873,0,0,0,grass
0.008,3870,0,0,0,grass
0.008,3871,0,0,0,grass
0.011,3877,0,0,0,grass
0.011,3872,0,0,0,grass
0.011,3872,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3871,0,0,0,grass
0.011,3875,0,0,0,grass
0.011,3869,0,0,0,grass
0.011,3874,0,0,0,grass
0.011,3872,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3874,0,0,0,grass
0.011,3875,0,0,0,grass
0.011,3873,0,0,0,grass
0.011,3871,0,0,0,grass
0.011,3874,0,0,0,grass
0.011,3880,0,0,0,grass
0.011,3871,0,0,0,grass
0.011,3875,0,0,0,grass
0.011,3877,0,0,0,grass
0.014,3875,0,0,0,grass
0.014,3879,0,0,0,grass
0.014,3874,0,0,0,grass
0.014,3873,0,0,0,grass
0.014,3875,0,0,0,grass
0.014,3876,0,0,0,grass
0.014,3877,0,0,0,grass
0.015,3879,0,0,0,grass
0.015,3869,0,0,0,grass
0.015,3876,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3883,0,0,0,grass
0.015,3879,0,0,0,grass
0.015,3875,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3876,0,0,0,grass
0.015,3878,0,0,0,grass
0.015,3879,0,0,0,grass
0.015,3873,0,0,0,grass
0.015,3879,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3880,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3878,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3879,0,0,0,grass
0.015,3877,0,0,0,grass
0.015,3878,0,0,0,grass
0.019,3878,0,0,0,grass
0.019,3876,0,0,0,grass
0.019,3882,0,0,0,grass
0.019,3886,0,0,0,grass
0.02,3879,0,0,0,grass
0.02,3877,0,0,0,grass
0.02,3879,0,0,0,grass
0.02,3876,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3879,0,0,0,grass
0.02,3879,0,0,0,grass
0.02,3876,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3882,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3878,0,0,0,grass
0.02,3881,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3879,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3882,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3879,0,0,0,grass
0.022,3882,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3878,0,0,0,grass
0.022,3877,0,0,0,grass
0.022,3879,0,0,0,grass
0.022,3882,0,0,0,grass
0.022,3880,0,0,0,grass
0.022,3881,0,0,0,grass
0.022,3880,0,0,0,grass
0.022,3875,0,0,0,grass
0.022,3879,0,0,0,grass
0.022,3881,0,0,0,grass
0.022,3878,0,0,0,grass
0.025,3880,0,0,0,grass
0.025,3878,0,0,0,grass
0.025,3882,0,0,0,grass
0.025,3879,0,0,0,grass
0.025,3879,0,0,0,grass
0.025,3877,0,0,0,grass
0.026,3880,0,0,0,grass
0.026,3881,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3885,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3885,0,0,0,grass
0.026,3887,0,0,0,grass
0.026,3880,0,0,0,grass
0.026,3886,0,0,0,grass
0.026,3882,0,0,0,grass
0.026,3880,0,0,0,grass
0.026,3881,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3878,0,0,0,grass
0.026,3882,0,0,0,grass
0.026,3882,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3883,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3880,0,0,0,grass
0.026,3879,0,0,0,grass
0.026,3881,0,0,0,grass
0.026,3882,0,0,0,grass
0.026,3882,0,0,0,grass
0.026,3884,0,0,0,grass
0.026,3885,0,0,0,grass
0.03,3878,0,0,0,grass
0.03,3879,0,0,0,grass
0.03,3889,0,0,0,grass
0.03,3882,0,0,0,grass
0.03,3883,0,0,0,grass
0.03,3884,0,0,0,grass
0.03,3886,0,0,0,grass
0.03,3880,0,0,0,grass
0.03,3880,0,0,0,grass
